Station Name,Date,CO
Manama,15/01/2023,0.29
Manama,15/01/2023,0.29
Manama,15/01/2023,0.27
Manama,15/01/2023,0.28
Manama,15/01/2023,0.29
Manama,15/01/2023,0.27
Manama,15/01/2023,0.27
Manama,15/01/2023,0.31
Manama,15/01/2023,0.3
Manama,15/01/2023,0.31
Manama,15/01/2023,0.31
Manama,15/01/2023,0.31
Manama,15/01/2023,0.32
Manama,15/01/2023,0.39
Manama,15/01/2023,0.63
Manama,15/01/2023,0.75
Manama,15/01/2023,0.76
Manama,15/01/2023,0.59
Manama,15/01/2023,0.58
Manama,15/01/2023,0.57
Manama,15/01/2023,0.5
Manama,16/01/2023,0.49
Manama,16/01/2023,0.5
Manama,16/01/2023,0.62
Manama,16/01/2023,0.93
Manama,16/01/2023,0.76
Manama,16/01/2023,0.42
Manama,16/01/2023,0.31
Manama,16/01/2023,0.3
Manama,16/01/2023,0.27
Manama,16/01/2023,0.61
Manama,16/01/2023,0.47
Manama,16/01/2023,0.39
Manama,16/01/2023,0.34
Manama,16/01/2023,0.39
Manama,16/01/2023,0.34
Manama,16/01/2023,0.32
Manama,16/01/2023,0.34
Manama,16/01/2023,0.39
Manama,16/01/2023,0.53
Manama,16/01/2023,0.53
Manama,16/01/2023,0.71
Manama,16/01/2023,0.59
Manama,16/01/2023,0.5
Manama,16/01/2023,0.47
Manama,17/01/2023,0.45
Manama,17/01/2023,0.46
Manama,17/01/2023,0.61
Manama,17/01/2023,0.94
Manama,17/01/2023,0.67
Manama,17/01/2023,0.39
Manama,17/01/2023,0.35
Manama,17/01/2023,0.35
Manama,17/01/2023,0.34
Manama,17/01/2023,0.33
Manama,17/01/2023,0.37
Manama,17/01/2023,0.42
Manama,17/01/2023,0.45
Manama,17/01/2023,0.47
Manama,17/01/2023,0.48
Manama,17/01/2023,0.46
Manama,17/01/2023,0.41
Manama,17/01/2023,0.46
Manama,17/01/2023,0.45
Manama,17/01/2023,0.39
Manama,17/01/2023,0.36
Manama,17/01/2023,0.41
Manama,17/01/2023,0.41
Manama,17/01/2023,0.4
Manama,18/01/2023,0.42
Manama,18/01/2023,0.51
Manama,18/01/2023,0.58
Manama,18/01/2023,0.56
Manama,18/01/2023,0.45
Manama,18/01/2023,0.35
Manama,18/01/2023,0.32
Manama,18/01/2023,0.29
Manama,18/01/2023,0.28
Manama,18/01/2023,0.26
Manama,18/01/2023,0.32
Manama,18/01/2023,0.32
Manama,18/01/2023,0.31
Manama,18/01/2023,0.3
Manama,18/01/2023,0.31
Manama,18/01/2023,0.28
Manama,18/01/2023,0.29
Manama,18/01/2023,0.32
Manama,18/01/2023,0.33
Manama,18/01/2023,0.33
Manama,18/01/2023,0.31
Manama,18/01/2023,0.34
Manama,18/01/2023,0.38
Manama,18/01/2023,0.4
Manama,19/01/2023,0.4
Manama,19/01/2023,0.39
Manama,19/01/2023,0.43
Manama,19/01/2023,0.41
Manama,19/01/2023,0.41
Manama,19/01/2023,0.37
Manama,19/01/2023,0.36
Manama,19/01/2023,0.34
Manama,19/01/2023,0.3
Manama,19/01/2023,0.29
Manama,19/01/2023,
Manama,19/01/2023,1.63
