Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,NOX,NO,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation,Atm P.
MUSHAIRIF,03/05/2023,09:00:00,7.45,,,27.12,38.21,11.09,,,22.34,,,,,,0.69,,,,,81.0,,,23.4065,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,03/05/2023,10:00:00,4.75,,,19.58,27.6,8.02,,,40.82,,,,,,0.41,,,,,88.0,,,30.747,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,03/05/2023,11:00:00,5.56,,,13.75,18.38,4.63,,,56.19,,,,,,0.39,,,,,97.0,,,29.5646155,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,03/05/2023,12:00:00,4.4,,,10.05,13.31,3.26,,,70.14,,,,,,0.4,,,,,106.0,,,29.430315,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,03/05/2023,13:00:00,4.57,,,7.75,10.56,2.81,,,83.36,,,,,,0.43,,,,,113.0,,,33.60286,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,03/05/2023,14:00:00,5.53,,,8.33,10.39,2.06,,,99.88,,,,,,0.31,,,,,123.0,,,42.8796,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,03/05/2023,15:00:00,5.17,,,8.08,10.19,2.11,,,112.13,,,,,,0.72,,,,,135.0,,,40.572185000000005,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,03/05/2023,16:00:00,4.54,,,10.61,13.05,2.44,,,108.08,,,,,,0.57,,,,,146.0,,,42.6720805,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,03/05/2023,17:00:00,4.71,,,18.69,20.68,1.99,,,98.61,,,,,,0.52,,,,,147.0,,,38.299725,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,03/05/2023,18:00:00,4.89,,,25.5,27.6,2.1,,,93.52,,,,,,0.51,,,,,138.0,,,44.2092,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,03/05/2023,19:00:00,4.53,,,22.73,24.71,1.98,,,96.83,,,,,,0.5,,,,,128.0,,,40.5528,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,03/05/2023,20:00:00,4.97,,,15.91,17.77,1.86,,,100.13,,,,,,0.92,,,,,116.0,,,31.18716,,,,,,,,,,,,,,,,,,,,
