Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation,Atm P.,DATA COUNT
Baniyas School,02/01/2023,13:00:00,10.01,,8.1,16.25,,49.04,92.51,,33.43,,,,,,,,,57.0,,69.24,24.2,,28.51,26.83,25.12,1019.0,51.15,351.16,3.76,4.84,,,,,,,,,56.18,,,
Baniyas School,02/01/2023,14:00:00,12.55,,8.1,15.26,,49.04,114.66,,48.98,,,,,,,,,39.7,,69.24,31.7,,28.51,27.1,25.63,1018.1,50.66,329.9,4.17,4.58,,,,,,,,,61.06,,,
Baniyas School,02/01/2023,15:00:00,21.11,,8.1,15.13,,49.04,111.07,,64.27,,,,,,,,,49.5,,69.24,31.4,,28.51,26.18,25.11,1017.7,51.28,327.59,5.62,3.71,,,,,,,,,70.85,,,
Baniyas School,02/01/2023,16:00:00,26.97,,8.1,19.9,,49.04,104.86,,78.46,,,,,,,,,53.8,,69.24,36.2,,28.51,25.68,24.8,1017.4,51.24,335.34,5.75,4.02,,,,,,,,,67.9,,,
Baniyas School,02/01/2023,17:00:00,22.16,,8.1,23.71,,49.04,108.17,,93.2,,,,,,,,,50.2,,69.24,34.4,,28.51,24.88,24.56,1017.6,47.14,338.12,5.81,3.87,,,,,,,,,68.04,,,
Baniyas School,02/01/2023,18:00:00,8.83,,8.1,38.3,,49.04,122.73,,96.89,,,,,,,,,47.3,,69.24,36.9,,28.51,23.48,23.43,1018.1,60.76,341.43,5.2,4.55,,,,,,,,,58.28,,,
Baniyas School,02/01/2023,19:00:00,5.39,,8.1,38.14,,49.04,110.77,,106.18,,,,,,,,,70.2,,69.24,40.7,,28.51,22.61,22.9,1019.0,63.46,344.72,3.76,5.07,,,,,,,,,56.73,,,
Baniyas School,02/01/2023,20:00:00,6.01,,8.1,43.62,,49.04,71.16,,104.49,,,,,,,,,57.8,,69.24,39.2,,28.51,21.9,22.52,1019.5,53.89,344.32,2.19,4.16,,,,,,,,,56.47,,,
Baniyas School,02/01/2023,21:00:00,3.65,,8.1,66.9,,49.04,41.88,,98.16,,,,,,,,,47.9,,69.24,32.1,,28.51,21.3,22.07,1020.0,50.94,329.32,1.77,5.27,,,,,,,,,53.12,,,
Baniyas School,02/01/2023,22:00:00,4.83,,8.1,75.97,,49.04,32.59,,87.9,,,,,,,,,35.0,,69.24,25.6,,28.51,20.88,21.69,1020.4,53.23,337.5,1.77,5.1,,,,,,,,,53.07,,,
Baniyas School,02/01/2023,23:00:00,4.48,,8.1,88.96,,49.04,14.08,,75.78,,,,,,,,,36.4,,69.24,22.2,,28.51,20.43,21.28,1020.3,56.63,340.03,1.67,4.97,,,,,,,,,52.99,,,
Baniyas School,03/01/2023,00:00:00,7.8,,5.45,98.06,,57.35,5.1,,63.31,,,,,,,,,39.4,,45.48,27.4,,19.98,19.86,20.86,1019.9,58.71,340.13,0.98,4.93,,,,,,,,,52.65,,,
