vlookup,SO2,NO2,Daily_Avg_8h_WHO,Daily_Avg_8h_NS,Daily_Avg_8h_C0,PM10,PM2.5
AL Ma04082023,3.9,27.4,,,,67.0,18.6
AL Ma05082023,4.2,21.6,,,,89.0,24.6
AL Ma06082023,4.5,24.8,,,,86.6,23.7
AL Ma07082023,4.5,24.9,,,,98.4,27.3
AL Ma08082023,4.5,22.4,,,,90.6,24.5
AL Ma09082023,4.1,36.4,,,,63.6,17.7
AL Ma10082023,5.0,30.4,,,,99.0,27.5
AL Ma11082023,5.0,20.9,,,,183.2,50.5
AL Ma12082023,4.3,29.1,,,,235.4,65.3
AL Ma13082023,4.3,30.9,,,,237.9,65.1
AL Ma14082023,3.9,23.6,,,,130.1,35.5
AL Ma15082023,4.2,32.2,,,,100.4,27.7
AL Ma16082023,5.5,33.1,,,,120.5,33.2
AL Ma17082023,4.0,24.6,,,,165.0,45.4
AL Ma18082023,4.5,26.4,,,,108.6,29.6
AL Ma19082023,5.4,24.3,,,,78.5,21.6
AL Ma20082023,5.0,29.5,,,,73.5,20.2
AL Ma21082023,5.1,26.1,,,,82.1,22.6
AL Ma22082023,5.6,30.6,,,,88.5,24.3
AL Ma23082023,5.5,31.4,,,,77.4,21.0
AL Ma24082023,4.4,23.5,,,,87.9,24.6
AL Ma25082023,4.8,34.4,,,,131.4,36.0
AL Ma26082023,3.9,32.8,,,,87.6,23.9
AL Ma27082023,4.8,31.9,,,,81.7,22.4
AL Ma28082023,4.6,30.1,,,,65.2,18.0
AL Ma29082023,6.3,31.4,,,,68.3,18.7
AL Ma30082023,5.9,33.9,,,,65.4,18.1
AL Ma31082023,4.7,17.7,,,,60.1,16.6
AL Ma01092023,4.7,20.1,,,,62.2,20.0
AL Ma02092023,4.8,18.1,,,,66.4,21.8
AL Ma03092023,4.0,14.9,,,,76.6,25.0
AL Ma04092023,4.8,20.6,,,,105.7,34.8
AL Ma05092023,4.9,23.0,,,,60.8,19.7
AL Ma06092023,4.4,24.7,,,,63.0,20.8
AL Ma07092023,4.6,25.3,,,,81.7,26.9
AL Ma08092023,4.8,27.1,,,,173.5,57.2
AL Ma09092023,5.2,24.5,,,,154.1,50.0
AL Ma10092023,4.4,17.3,,,,102.2,33.1
AL Ma11092023,5.1,19.1,,,,79.9,25.9
AL Ma12092023,4.6,19.0,,,,83.6,27.6
AL Ma13092023,4.8,30.4,,,,85.8,28.0
AL Ma14092023,4.9,22.0,,,,75.1,24.8
AL Ma15092023,4.7,11.2,,,,72.2,23.2
AL Ma16092023,4.8,13.4,,,,53.4,17.6
