vlookup,SO2,NO2,O3,CO
AL Ma31122023,1,1,0,0
Al Ha01012023,1,1,0,0
Al Ha02012023,1,1,0,0
Al Ha03012023,1,1,1,0
Al Ha04012023,1,1,1,0
Al Ha05012023,1,1,1,0
Al Ha06012023,1,1,1,0
Al Ha07012023,1,1,1,0
Al Ha08012023,1,1,1,0
Al Ha09012023,1,1,0,0
Al Ha10012023,1,1,1,0
Al Ha11012023,1,1,1,0
Al Ha12012023,1,1,1,0
Al Ha13012023,1,1,1,0
Al Ha14012023,1,1,1,0
Al Ha15012023,1,1,1,0
Al Ha16012023,1,1,1,0
Al Ha17012023,1,1,0,0
Al Ha18012023,1,1,1,0
Al Ha19012023,1,1,1,0
Al Ha20012023,1,1,1,0
Al Ha21012023,1,1,1,0
Al Ha22012023,1,1,1,0
Al Ha23012023,1,1,1,0
Al Ha24012023,1,1,1,0
Al Ha25012023,1,1,1,0
Al Ha26012023,1,1,1,0
Al Ha27012023,1,1,1,0
Al Ha28012023,1,1,0,0
Al Ha29012023,1,1,1,0
Al Ha30012023,1,1,1,0
Al Ha31012023,1,1,1,0
Al Ha01022023,1,1,1,0
Al Ha02022023,1,1,1,0
Al Ha03022023,1,1,1,0
Al Ha04022023,1,1,1,0
Al Ha05022023,1,1,1,0
Al Ha06022023,1,1,1,0
Al Ha07022023,1,1,1,0
Al Ha08022023,1,1,0,0
Al Ha09022023,1,1,1,0
Al Ha10022023,1,1,1,0
Al Ha11022023,1,1,1,0
Al Ha12022023,1,1,1,0
Al Ha13022023,1,1,1,0
Al Ha14022023,1,1,1,0
Al Ha15022023,1,1,1,0
Al Ha16022023,1,1,1,0
Al Ha17022023,1,1,1,0
Al Ha18022023,1,1,0,0
Al Ha19022023,1,1,1,0
Al Ha20022023,1,1,1,0
Al Ha21022023,1,1,1,0
Al Ha22022023,1,1,1,0
Al Ha23022023,1,1,1,0
Al Ha24022023,1,1,0,0
Al Ha25022023,1,1,1,0
Al Ha26022023,1,1,1,0
Al Ha27022023,1,1,1,0
Al Ha28022023,1,1,0,0
Al Ha01032023,1,1,0,0
Al Ha02032023,1,1,1,0
Al Ha03032023,1,1,1,0
Al Ha04032023,1,1,1,0
Al Ha05032023,1,1,1,0
Al Ha06032023,1,1,1,0
Al Ha07032023,1,1,1,0
Al Ha08032023,1,1,1,0
Al Ha09032023,1,1,1,0
Al Ha10032023,1,1,1,0
Al Ha11032023,1,1,1,0
Al Ha12032023,1,1,1,0
Al Ha13032023,1,1,0,0
Al Ha14032023,1,1,1,0
Al Ha15032023,1,1,1,0
Al Ha16032023,1,1,1,0
Al Ha17032023,1,1,1,0
Al Ha18032023,1,1,1,0
Al Ha19032023,1,1,1,0
Al Ha20032023,1,1,1,0
Al Ha21032023,1,1,1,0
Al Ha22032023,1,1,0,0
Al Ha23032023,1,1,1,0
Al Ha24032023,1,1,1,0
Al Ha25032023,1,1,1,0
Al Ha26032023,1,1,1,0
Al Ha27032023,1,1,0,0
Al Ha28032023,1,1,1,0
Al Ha29032023,1,1,1,0
Al Ha30032023,1,1,1,0
Al Ha31032023,1,1,1,0
Al Ha01042023,1,1,1,0
Al Ha02042023,1,1,1,0
Al Ha03042023,1,1,1,0
Al Ha04042023,1,1,0,0
Al Ha05042023,1,1,1,0
Al Ha06042023,1,1,1,0
Al Ha07042023,1,1,1,0
Al Ha08042023,1,1,1,0
Al Ha09042023,1,1,1,0
Al Ha10042023,1,1,1,0
Al Ha11042023,1,1,1,0
Al Ha12042023,1,1,1,0
Al Ha13042023,1,1,0,0
Al Ha14042023,1,1,1,0
Al Ha15042023,1,1,1,0
Al Ha16042023,1,1,1,0
Al Ha17042023,1,1,1,0
Al Ha18042023,1,1,1,0
Al Ha19042023,1,1,0,0
Al Ha20042023,1,1,1,0
Al Ha21042023,1,1,1,0
Al Ha22042023,1,1,1,0
Al Ha23042023,1,1,1,0
Al Ha24042023,1,1,1,0
Al Ha25042023,1,1,1,0
Al Ha26042023,1,1,1,0
Al Ha27042023,1,1,1,0
Al Ha28042023,1,1,0,0
Al Ha29042023,1,1,1,0
Al Ha30042023,1,1,1,0
Al Ha01052023,1,1,1,0
Al Ha02052023,1,1,0,0
Al Ha03052023,1,1,1,0
Al Ha04052023,1,1,1,0
Al Ha05052023,1,1,1,0
Al Ha06052023,1,1,1,0
Al Ha07052023,1,1,1,0
Al Ha08052023,1,1,1,0
Al Ha09052023,1,1,1,0
Al Ha10052023,1,1,1,0
Al Ha11052023,1,1,0,0
Al Ha12052023,1,1,1,0
Al Ha13052023,1,1,1,0
Al Ha14052023,1,1,1,0
Al Ha15052023,1,1,1,0
Al Ha16052023,1,1,1,0
Al Ha17052023,1,1,1,0
Al Ha18052023,1,1,1,0
Al Ha19052023,1,1,1,0
Al Ha20052023,1,1,1,0
Al Ha21052023,1,1,0,0
Al Ha22052023,1,1,1,0
Al Ha23052023,1,1,1,0
Al Ha24052023,1,1,1,0
Al Ha25052023,1,1,1,0
Al Ha26052023,1,1,1,0
Al Ha27052023,1,1,0,0
Al Ha28052023,1,1,1,0
Al Ha29052023,1,1,1,0
Al Ha30052023,1,1,1,0
Al Ha31052023,1,1,1,0
Al Ha01062023,1,1,0,0
Al Ha02062023,1,1,0,0
Al Ha03062023,1,1,1,0
Al Ha04062023,1,1,1,0
Al Ha05062023,1,1,1,0
Al Ha06062023,1,1,1,0
Al Ha07062023,1,1,1,0
Al Ha08062023,1,1,0,0
Al Ha09062023,1,1,1,0
Al Ha10062023,1,1,1,0
Al Ha11062023,1,1,1,0
Al Ha12062023,1,1,1,0
Al Ha13062023,1,1,1,0
Al Ha14062023,1,1,1,0
Al Ha15062023,1,1,1,0
Al Ha16062023,1,1,1,0
Al Ha17062023,1,1,1,0
Al Ha18062023,1,1,1,0
Al Ha19062023,1,1,1,0
Al Ha20062023,1,1,1,0
Al Ha21062023,1,1,1,0
Al Ha22062023,1,1,1,0
Al Ha23062023,1,1,1,0
Al Ha24062023,1,1,0,0
Al Ha25062023,1,1,1,0
Al Ha26062023,1,1,1,0
Al Ha27062023,1,1,0,0
Al Ha28062023,1,1,1,0
Al Ha29062023,1,1,1,0
Al Ha30062023,1,1,1,0
Al Ha01072023,1,1,1,0
Al Ha02072023,1,1,0,0
Al Ha03072023,1,1,1,0
Al Ha04072023,1,1,1,0
Al Ha05072023,1,1,1,0
Al Ha06072023,1,1,1,0
Al Ha07072023,1,1,1,0
Al Ha08072023,1,1,0,0
Al Ha09072023,1,1,1,0
Al Ha10072023,1,1,1,0
Al Ha11072023,1,1,1,0
Al Ha12072023,1,1,1,0
Al Ha13072023,1,1,1,0
Al Ha14072023,1,1,1,0
Al Ha15072023,1,1,1,0
Al Ha16072023,1,1,1,0
Al Ha17072023,1,1,0,0
Al Ha18072023,1,1,1,0
Al Ha19072023,1,1,1,0
Al Ha20072023,1,1,1,0
Al Ha21072023,1,1,1,0
Al Ha22072023,1,1,1,0
Al Ha23072023,1,1,1,0
Al Ha24072023,1,1,1,0
Al Ha25072023,1,1,1,0
Al Ha26072023,1,1,1,0
Al Ha27072023,1,1,0,0
Al Ha28072023,1,1,1,0
Al Ha29072023,1,1,1,0
Al Ha30072023,1,1,1,0
Al Ha31072023,1,1,1,0
Al Ha01082023,1,1,0,0
Al Ha02082023,1,1,1,0
Al Ha03082023,1,1,1,0
Al Ha04082023,1,1,1,0
Al Ha05082023,1,1,0,0
Al Ha06082023,1,1,1,0
Al Ha07082023,1,1,1,0
Al Ha08082023,1,1,1,0
Al Ha09082023,1,1,1,0
Al Ha10082023,1,1,0,0
Al Ha11082023,1,1,1,0
Al Ha12082023,1,1,1,0
Al Ha13082023,1,1,1,0
Al Ha14082023,1,1,1,0
Al Ha15082023,1,1,1,0
Al Ha16082023,1,1,1,0
Al Ha17082023,1,1,1,0
Al Ha18082023,1,1,1,0
Al Ha19082023,1,1,1,0
Al Ha20082023,1,1,1,0
Al Ha21082023,1,1,1,0
Al Ha22082023,1,1,1,0
Al Ha23082023,1,1,1,0
Al Ha24082023,1,1,1,0
Al Ha25082023,1,1,1,0
Al Ha26082023,1,1,0,0
Al Ha27082023,1,1,1,0
Al Ha28082023,1,1,1,0
Al Ha29082023,1,1,1,0
Al Ha30082023,1,1,1,0
Al Ha31082023,1,1,1,0
Al Ha01092023,1,1,1,0
Al Ha02092023,1,1,0,0
Al Ha03092023,1,1,1,0
Al Ha04092023,1,1,1,0
Al Ha05092023,1,1,1,0
Al Ha06092023,1,1,1,0
Al Ha07092023,1,1,1,0
Al Ha08092023,1,1,1,0
Al Ha09092023,1,1,1,0
Al Ha10092023,1,1,0,0
Al Ha11092023,1,1,1,0
Al Ha12092023,1,1,1,0
Al Ha13092023,1,1,1,0
Al Ha14092023,1,1,1,0
Al Ha15092023,1,1,1,0
Al Ha16092023,1,1,1,0
Al Ha17092023,1,1,1,0
Al Ha18092023,1,1,1,0
Al Ha19092023,1,1,1,0
Al Ha20092023,1,1,1,0
Al Ha21092023,1,1,0,0
Al Ha22092023,1,1,1,0
Al Ha23092023,1,1,1,0
Al Ha24092023,1,1,1,0
Al Ha25092023,1,1,1,0
Al Ha26092023,1,1,1,0
Al Ha27092023,1,1,1,0
Al Ha28092023,1,1,1,0
Al Ha29092023,1,1,1,0
Al Ha30092023,1,1,0,0
Al Ha01102023,1,1,1,0
Al Ha02102023,1,1,1,0
Al Ha03102023,1,1,1,0
Al Ha04102023,1,1,1,0
Al Ha05102023,1,1,1,0
Al Ha06102023,1,1,1,0
Al Ha07102023,1,1,0,0
Al Ha08102023,1,1,1,0
Al Ha09102023,1,1,1,0
Al Ha10102023,1,1,1,0
Al Ha11102023,1,1,1,0
Al Ha12102023,1,1,1,0
Al Ha13102023,1,1,1,0
Al Ha14102023,1,1,1,0
Al Ha15102023,1,1,0,0
Al Ha16102023,1,1,1,0
Al Ha17102023,1,1,1,0
Al Ha18102023,1,1,1,0
Al Ha19102023,1,1,1,0
Al Ha20102023,1,1,1,0
Al Ha21102023,1,1,1,0
Al Ha22102023,1,1,1,0
Al Ha23102023,1,1,1,0
Al Ha24102023,1,1,1,0
Al Ha25102023,1,1,1,0
Al Ha26102023,1,1,1,0
Al Ha27102023,1,1,1,0
Al Ha28102023,1,1,1,0
Al Ha29102023,1,1,1,0
Al Ha30102023,1,1,1,0
Al Ha31102023,1,1,0,0
Al Ha01112023,1,1,1,0
Al Ha02112023,1,1,1,0
Al Ha03112023,1,1,1,0
Al Ha04112023,1,1,1,0
Al Ha05112023,1,1,1,0
Al Ha06112023,1,1,1,0
Al Ha07112023,1,1,0,0
Al Ha08112023,1,1,1,0
Al Ha09112023,1,1,1,0
Al Ha10112023,1,1,1,0
Al Ha11112023,1,1,0,0
Al Ha12112023,1,0,0,0
Al Ha13112023,1,1,0,0
Al Ha14112023,1,1,1,0
Al Ha15112023,1,1,0,0
Al Ha16112023,1,1,1,0
Al Ha17112023,1,1,1,0
Al Ha18112023,1,1,1,0
Al Ha19112023,1,1,1,0
Al Ha20112023,1,1,1,0
Al Ha21112023,1,1,1,0
Al Ha22112023,1,1,1,0
Al Ha23112023,1,1,1,0
Al Ha24112023,1,1,1,0
Al Ha25112023,1,1,0,0
Al Ha26112023,1,1,1,0
Al Ha27112023,1,1,1,0
Al Ha28112023,1,1,1,0
Al Ha29112023,1,1,1,0
Al Ha30112023,1,1,0,0
Al Ha01122023,1,1,1,0
Al Ha02122023,1,1,1,0
Al Ha03122023,1,1,1,0
Al Ha04122023,1,1,1,0
Al Ha05122023,1,1,1,0
Al Ha06122023,1,1,1,0
Al Ha07122023,1,1,0,0
Al Ha08122023,1,1,1,0
Al Ha09122023,1,1,1,0
Al Ha10122023,1,1,1,0
Al Ha11122023,1,1,1,0
Al Ha12122023,1,1,1,0
Al Ha13122023,1,1,1,0
Al Ha14122023,1,1,1,0
Al Ha15122023,1,1,1,0
Al Ha16122023,1,1,1,0
Al Ha17122023,1,1,1,0
Al Ha18122023,1,1,0,0
Al Ha19122023,1,1,1,0
Al Ha20122023,1,1,1,0
Al Ha21122023,1,1,1,0
Al Ha22122023,1,1,1,0
Al Ha23122023,1,1,1,0
Al Ha24122023,1,1,1,0
Al Ha25122023,1,1,0,0
Al Ha26122023,1,1,1,0
Al Ha27122023,1,1,1,0
Al Ha28122023,1,1,1,0
Al Ha29122023,1,1,1,0
Al Ha30122023,1,1,1,0
Al Ha31122023,1,1,1,0
